Name	PassengerId	Survived	Pclass	Sex	Age	SibSp	Parch	Fare	Embarked
Saalfeld, Mr. Adolphe	299	1	1	male	29.69911764705882	0	0	30.5	S
Baxter, Mrs. James (Helene DeLaudeniere Chaput)	300	1	1	female	50.0	0	1	247.5208	C
"Kelly, Miss. Anna Katherine ""Annie Kate"""	301	1	3	female	29.69911764705882	0	0	7.75	Q
McCoy, Mr. Bernard	302	1	3	male	29.69911764705882	2	0	23.25	Q
Johnson, Mr. William Cahoone Jr	303	0	3	male	19.0	0	0	0.0	S
Keane, Miss. Nora A	304	1	2	female	29.69911764705882	0	0	12.35	Q
"Williams, Mr. Howard Hugh ""Harry"""	305	0	3	male	29.69911764705882	0	0	8.05	S
Allison, Master. Hudson Trevor	306	1	1	male	0.92	1	2	151.55	S
Fleming, Miss. Margaret	307	1	1	female	29.69911764705882	0	0	110.8833	C
Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)	308	1	1	female	17.0	1	0	108.9	C
Abelson, Mr. Samuel	309	0	2	male	30.0	1	0	24.0	C
Francatelli, Miss. Laura Mabel	310	1	1	female	30.0	0	0	56.9292	C
Hays, Miss. Margaret Bechstein	311	1	1	female	24.0	0	0	83.1583	C
Ryerson, Miss. Emily Borie	312	1	1	female	18.0	2	2	262.375	C
Lahtinen, Mrs. William (Anna Sylfven)	313	0	2	female	26.0	1	1	26.0	S
Hendekovic, Mr. Ignjac	314	0	3	male	28.0	0	0	7.8958	S
Hart, Mr. Benjamin	315	0	2	male	43.0	1	1	26.25	S
Nilsson, Miss. Helmina Josefina	316	1	3	female	26.0	0	0	7.8542	S
Kantor, Mrs. Sinai (Miriam Sternin)	317	1	2	female	24.0	1	0	26.0	S
Moraweck, Dr. Ernest	318	0	2	male	54.0	0	0	14.0	S
Wick, Miss. Mary Natalie	319	1	1	female	31.0	0	2	164.8667	S
Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)	320	1	1	female	40.0	1	1	134.5	C
Dennis, Mr. Samuel	321	0	3	male	22.0	0	0	7.25	S
Danoff, Mr. Yoto	322	0	3	male	27.0	0	0	7.8958	S
Slayter, Miss. Hilda Mary	323	1	2	female	30.0	0	0	12.35	Q
Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)	324	1	2	female	22.0	1	1	29.0	S
Sage, Mr. George John Jr	325	0	3	male	29.69911764705882	8	2	69.55	S
Young, Miss. Marie Grice	326	1	1	female	36.0	0	0	135.6333	C
Nysveen, Mr. Johan Hansen	327	0	3	male	61.0	0	0	6.2375	S
Ball, Mrs. (Ada E Hall)	328	1	2	female	36.0	0	0	13.0	S
Goldsmith, Mrs. Frank John (Emily Alice Brown)	329	1	3	female	31.0	1	1	20.525	S
Hippach, Miss. Jean Gertrude	330	1	1	female	16.0	0	1	57.9792	C
McCoy, Miss. Agnes	331	1	3	female	29.69911764705882	2	0	23.25	Q
Partner, Mr. Austen	332	0	1	male	45.5	0	0	28.5	S
Graham, Mr. George Edward	333	0	1	male	38.0	0	1	153.4625	S
Vander Planke, Mr. Leo Edmondus	334	0	3	male	16.0	2	0	18.0	S
Frauenthal, Mrs. Henry William (Clara Heinsheimer)	335	1	1	female	29.69911764705882	1	0	133.65	S
Denkoff, Mr. Mitto	336	0	3	male	29.69911764705882	0	0	7.8958	S
Pears, Mr. Thomas Clinton	337	0	1	male	29.0	1	0	66.6	S
Burns, Miss. Elizabeth Margaret	338	1	1	female	41.0	0	0	134.5	C
Dahl, Mr. Karl Edwart	339	1	3	male	45.0	0	0	8.05	S
Blackwell, Mr. Stephen Weart	340	0	1	male	45.0	0	0	35.5	S
Navratil, Master. Edmond Roger	341	1	2	male	2.0	1	1	26.0	S
Fortune, Miss. Alice Elizabeth	342	1	1	female	24.0	3	2	263.0	S
Collander, Mr. Erik Gustaf	343	0	2	male	28.0	0	0	13.0	S
Sedgwick, Mr. Charles Frederick Waddington	344	0	2	male	25.0	0	0	13.0	S
Fox, Mr. Stanley Hubert	345	0	2	male	36.0	0	0	13.0	S
"Brown, Miss. Amelia ""Mildred"""	346	1	2	female	24.0	0	0	13.0	S
Smith, Miss. Marion Elsie	347	1	2	female	40.0	0	0	13.0	S
Davison, Mrs. Thomas Henry (Mary E Finck)	348	1	3	female	29.69911764705882	1	0	16.1	S
"Coutts, Master. William Loch ""William"""	349	1	3	male	3.0	1	1	15.9	S
Dimic, Mr. Jovan	350	0	3	male	42.0	0	0	8.6625	S
Odahl, Mr. Nils Martin	351	0	3	male	23.0	0	0	9.225	S
Williams-Lambert, Mr. Fletcher Fellows	352	0	1	male	29.69911764705882	0	0	35.0	S
Elias, Mr. Tannous	353	0	3	male	15.0	1	1	7.2292	C
Arnold-Franchi, Mr. Josef	354	0	3	male	25.0	1	0	17.8	S
Yousif, Mr. Wazli	355	0	3	male	29.69911764705882	0	0	7.225	C
Vanden Steen, Mr. Leo Peter	356	0	3	male	28.0	0	0	9.5	S
Bowerman, Miss. Elsie Edith	357	1	1	female	22.0	0	1	55.0	S
Funk, Miss. Annie Clemmer	358	0	2	female	38.0	0	0	13.0	S
McGovern, Miss. Mary	359	1	3	female	29.69911764705882	0	0	7.8792	Q
"Mockler, Miss. Helen Mary ""Ellie"""	360	1	3	female	29.69911764705882	0	0	7.8792	Q
Skoog, Mr. Wilhelm	361	0	3	male	40.0	1	4	27.9	S
del Carlo, Mr. Sebastiano	362	0	2	male	29.0	1	0	27.7208	C
Barbara, Mrs. (Catherine David)	363	0	3	female	45.0	0	1	14.4542	C
Asim, Mr. Adola	364	0	3	male	35.0	0	0	7.05	S
O'Brien, Mr. Thomas	365	0	3	male	29.69911764705882	1	0	15.5	Q
Adahl, Mr. Mauritz Nils Martin	366	0	3	male	30.0	0	0	7.25	S
Warren, Mrs. Frank Manley (Anna Sophia Atkinson)	367	1	1	female	60.0	1	0	75.25	C
Moussa, Mrs. (Mantoura Boulos)	368	1	3	female	29.69911764705882	0	0	7.2292	C
Jermyn, Miss. Annie	369	1	3	female	29.69911764705882	0	0	7.75	Q
Aubart, Mme. Leontine Pauline	370	1	1	female	24.0	0	0	69.3	C
Harder, Mr. George Achilles	371	1	1	male	25.0	1	0	55.4417	C
Wiklund, Mr. Jakob Alfred	372	0	3	male	18.0	1	0	6.4958	S
Beavan, Mr. William Thomas	373	0	3	male	19.0	0	0	8.05	S
Ringhini, Mr. Sante	374	0	1	male	22.0	0	0	135.6333	C
Palsson, Miss. Stina Viola	375	0	3	female	3.0	3	1	21.075	S
Meyer, Mrs. Edgar Joseph (Leila Saks)	376	1	1	female	29.69911764705882	1	0	82.1708	C
Landergren, Miss. Aurora Adelia	377	1	3	female	22.0	0	0	7.25	S
Widener, Mr. Harry Elkins	378	0	1	male	27.0	0	2	211.5	C
Betros, Mr. Tannous	379	0	3	male	20.0	0	0	4.0125	C
Gustafsson, Mr. Karl Gideon	380	0	3	male	19.0	0	0	7.775	S
Bidois, Miss. Rosalie	381	1	1	female	42.0	0	0	227.525	C
"Nakid, Miss. Maria (""Mary"")"	382	1	3	female	1.0	0	2	15.7417	C
Tikkanen, Mr. Juho	383	0	3	male	32.0	0	0	7.925	S
Holverson, Mrs. Alexander Oskar (Mary Aline Towner)	384	1	1	female	35.0	1	0	52.0	S
Plotcharsky, Mr. Vasil	385	0	3	male	29.69911764705882	0	0	7.8958	S
Davies, Mr. Charles Henry	386	0	2	male	18.0	0	0	73.5	S
Goodwin, Master. Sidney Leonard	387	0	3	male	1.0	5	2	46.9	S
Buss, Miss. Kate	388	1	2	female	36.0	0	0	13.0	S
Sadlier, Mr. Matthew	389	0	3	male	29.69911764705882	0	0	7.7292	Q
Lehmann, Miss. Bertha	390	1	2	female	17.0	0	0	12.0	C
Carter, Mr. William Ernest	391	1	1	male	36.0	1	2	120.0	S
Jansson, Mr. Carl Olof	392	1	3	male	21.0	0	0	7.7958	S
Gustafsson, Mr. Johan Birger	393	0	3	male	28.0	2	0	7.925	S
Newell, Miss. Marjorie	394	1	1	female	23.0	1	0	113.275	C
Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)	395	1	3	female	24.0	0	2	16.7	S
Johansson, Mr. Erik	396	0	3	male	22.0	0	0	7.7958	S
Olsson, Miss. Elina	397	0	3	female	31.0	0	0	7.8542	S
McKane, Mr. Peter David	398	0	2	male	46.0	0	0	26.0	S
Pain, Dr. Alfred	399	0	2	male	23.0	0	0	10.5	S
Trout, Mrs. William H (Jessie L)	400	1	2	female	28.0	0	0	12.65	S
Niskanen, Mr. Juha	401	1	3	male	39.0	0	0	7.925	S
Adams, Mr. John	402	0	3	male	26.0	0	0	8.05	S
Jussila, Miss. Mari Aina	403	0	3	female	21.0	1	0	9.825	S
Hakkarainen, Mr. Pekka Pietari	404	0	3	male	28.0	1	0	15.85	S
Oreskovic, Miss. Marija	405	0	3	female	20.0	0	0	8.6625	S
Gale, Mr. Shadrach	406	0	2	male	34.0	1	0	21.0	S
Widegren, Mr. Carl/Charles Peter	407	0	3	male	51.0	0	0	7.75	S
Richards, Master. William Rowe	408	1	2	male	3.0	1	1	18.75	S
Birkeland, Mr. Hans Martin Monsen	409	0	3	male	21.0	0	0	7.775	S
Lefebre, Miss. Ida	410	0	3	female	29.69911764705882	3	1	25.4667	S
Sdycoff, Mr. Todor	411	0	3	male	29.69911764705882	0	0	7.8958	S
Hart, Mr. Henry	412	0	3	male	29.69911764705882	0	0	6.8583	Q
Minahan, Miss. Daisy E	413	1	1	female	33.0	1	0	90.0	Q
Cunningham, Mr. Alfred Fleming	414	0	2	male	29.69911764705882	0	0	0.0	S
Sundman, Mr. Johan Julian	415	1	3	male	44.0	0	0	7.925	S
Meek, Mrs. Thomas (Annie Louise Rowley)	416	0	3	female	29.69911764705882	0	0	8.05	S
Drew, Mrs. James Vivian (Lulu Thorne Christian)	417	1	2	female	34.0	1	1	32.5	S
Silven, Miss. Lyyli Karoliina	418	1	2	female	18.0	0	2	13.0	S
Matthews, Mr. William John	419	0	2	male	30.0	0	0	13.0	S
Van Impe, Miss. Catharina	420	0	3	female	10.0	0	2	24.15	S
Gheorgheff, Mr. Stanio	421	0	3	male	29.69911764705882	0	0	7.8958	C
Charters, Mr. David	422	0	3	male	21.0	0	0	7.7333	Q
Zimmerman, Mr. Leo	423	0	3	male	29.0	0	0	7.875	S
Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)	424	0	3	female	28.0	1	1	14.4	S
Rosblom, Mr. Viktor Richard	425	0	3	male	18.0	1	1	20.2125	S
Wiseman, Mr. Phillippe	426	0	3	male	29.69911764705882	0	0	7.25	S
Clarke, Mrs. Charles V (Ada Maria Winfield)	427	1	2	female	28.0	1	0	26.0	S
"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")"	428	1	2	female	19.0	0	0	26.0	S
Flynn, Mr. James	429	0	3	male	29.69911764705882	0	0	7.75	Q
Pickard, Mr. Berk (Berk Trembisky)	430	1	3	male	32.0	0	0	8.05	S
Bjornstrom-Steffansson, Mr. Mauritz Hakan	431	1	1	male	28.0	0	0	26.55	S
Thorneycroft, Mrs. Percival (Florence Kate White)	432	1	3	female	29.69911764705882	1	0	16.1	S
Louch, Mrs. Charles Alexander (Alice Adelaide Slow)	433	1	2	female	42.0	1	0	26.0	S
Kallio, Mr. Nikolai Erland	434	0	3	male	17.0	0	0	7.125	S
Silvey, Mr. William Baird	435	0	1	male	50.0	1	0	55.9	S
Carter, Miss. Lucile Polk	436	1	1	female	14.0	1	2	120.0	S
"Ford, Miss. Doolina Margaret ""Daisy"""	437	0	3	female	21.0	2	2	34.375	S
Richards, Mrs. Sidney (Emily Hocking)	438	1	2	female	24.0	2	3	18.75	S
Fortune, Mr. Mark	439	0	1	male	64.0	1	4	263.0	S
Kvillner, Mr. Johan Henrik Johannesson	440	0	2	male	31.0	0	0	10.5	S
Hart, Mrs. Benjamin (Esther Ada Bloomfield)	441	1	2	female	45.0	1	1	26.25	S
Hampe, Mr. Leon	442	0	3	male	20.0	0	0	9.5	S
Petterson, Mr. Johan Emil	443	0	3	male	25.0	1	0	7.775	S
Reynaldo, Ms. Encarnacion	444	1	2	female	28.0	0	0	13.0	S
Johannesen-Bratthammer, Mr. Bernt	445	1	3	male	29.69911764705882	0	0	8.1125	S
Dodge, Master. Washington	446	1	1	male	4.0	0	2	81.8583	S
Mellinger, Miss. Madeleine Violet	447	1	2	female	13.0	0	1	19.5	S
Seward, Mr. Frederic Kimber	448	1	1	male	34.0	0	0	26.55	S
Baclini, Miss. Marie Catherine	449	1	3	female	5.0	2	1	19.2583	C
Peuchen, Major. Arthur Godfrey	450	1	1	male	52.0	0	0	30.5	S
West, Mr. Edwy Arthur	451	0	2	male	36.0	1	2	27.75	S
Hagland, Mr. Ingvald Olai Olsen	452	0	3	male	29.69911764705882	1	0	19.9667	S
Foreman, Mr. Benjamin Laventall	453	0	1	male	30.0	0	0	27.75	C
Goldenberg, Mr. Samuel L	454	1	1	male	49.0	1	0	89.1042	C
Peduzzi, Mr. Joseph	455	0	3	male	29.69911764705882	0	0	8.05	S
Jalsevac, Mr. Ivan	456	1	3	male	29.0	0	0	7.8958	C
Millet, Mr. Francis Davis	457	0	1	male	65.0	0	0	26.55	S
Kenyon, Mrs. Frederick R (Marion)	458	1	1	female	29.69911764705882	1	0	51.8625	S
Toomey, Miss. Ellen	459	1	2	female	50.0	0	0	10.5	S
O'Connor, Mr. Maurice	460	0	3	male	29.69911764705882	0	0	7.75	Q
Anderson, Mr. Harry	461	1	1	male	48.0	0	0	26.55	S
Morley, Mr. William	462	0	3	male	34.0	0	0	8.05	S
Gee, Mr. Arthur H	463	0	1	male	47.0	0	0	38.5	S
Milling, Mr. Jacob Christian	464	0	2	male	48.0	0	0	13.0	S
Maisner, Mr. Simon	465	0	3	male	29.69911764705882	0	0	8.05	S
Goncalves, Mr. Manuel Estanslas	466	0	3	male	38.0	0	0	7.05	S
Campbell, Mr. William	467	0	2	male	29.69911764705882	0	0	0.0	S
Smart, Mr. John Montgomery	468	0	1	male	56.0	0	0	26.55	S
Scanlan, Mr. James	469	0	3	male	29.69911764705882	0	0	7.725	Q
Baclini, Miss. Helene Barbara	470	1	3	female	0.75	2	1	19.2583	C
Keefe, Mr. Arthur	471	0	3	male	29.69911764705882	0	0	7.25	S
Cacic, Mr. Luka	472	0	3	male	38.0	0	0	8.6625	S
West, Mrs. Edwy Arthur (Ada Mary Worth)	473	1	2	female	33.0	1	2	27.75	S
Jerwan, Mrs. Amin S (Marie Marthe Thuillard)	474	1	2	female	23.0	0	0	13.7917	C
Strandberg, Miss. Ida Sofia	475	0	3	female	22.0	0	0	9.8375	S
Clifford, Mr. George Quincy	476	0	1	male	29.69911764705882	0	0	52.0	S
Renouf, Mr. Peter Henry	477	0	2	male	34.0	1	0	21.0	S
Braund, Mr. Lewis Richard	478	0	3	male	29.0	1	0	7.0458	S
Karlsson, Mr. Nils August	479	0	3	male	22.0	0	0	7.5208	S
Hirvonen, Miss. Hildur E	480	1	3	female	2.0	0	1	12.2875	S
Goodwin, Master. Harold Victor	481	0	3	male	9.0	5	2	46.9	S
"Frost, Mr. Anthony Wood ""Archie"""	482	0	2	male	29.69911764705882	0	0	0.0	S
Rouse, Mr. Richard Henry	483	0	3	male	50.0	0	0	8.05	S
Turkula, Mrs. (Hedwig)	484	1	3	female	63.0	0	0	9.5875	S
Bishop, Mr. Dickinson H	485	1	1	male	25.0	1	0	91.0792	C
Lefebre, Miss. Jeannie	486	0	3	female	29.69911764705882	3	1	25.4667	S
Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)	487	1	1	female	35.0	1	0	90.0	S
Kent, Mr. Edward Austin	488	0	1	male	58.0	0	0	29.7	C
Somerton, Mr. Francis William	489	0	3	male	30.0	0	0	8.05	S
"Coutts, Master. Eden Leslie ""Neville"""	490	1	3	male	9.0	1	1	15.9	S
Hagland, Mr. Konrad Mathias Reiersen	491	0	3	male	29.69911764705882	1	0	19.9667	S
Windelov, Mr. Einar	492	0	3	male	21.0	0	0	7.25	S
Molson, Mr. Harry Markland	493	0	1	male	55.0	0	0	30.5	S
Artagaveytia, Mr. Ramon	494	0	1	male	71.0	0	0	49.5042	C
Stanley, Mr. Edward Roland	495	0	3	male	21.0	0	0	8.05	S
Yousseff, Mr. Gerious	496	0	3	male	29.69911764705882	0	0	14.4583	C
Eustis, Miss. Elizabeth Mussey	497	1	1	female	54.0	1	0	78.2667	C
Shellard, Mr. Frederick William	498	0	3	male	29.69911764705882	0	0	15.1	S
Allison, Mrs. Hudson J C (Bessie Waldo Daniels)	499	0	1	female	25.0	1	2	151.55	S
Svensson, Mr. Olof	500	0	3	male	24.0	0	0	7.7958	S
Calic, Mr. Petar	501	0	3	male	17.0	0	0	8.6625	S
Canavan, Miss. Mary	502	0	3	female	21.0	0	0	7.75	Q
O'Sullivan, Miss. Bridget Mary	503	0	3	female	29.69911764705882	0	0	7.6292	Q
Laitinen, Miss. Kristina Sofia	504	0	3	female	37.0	0	0	9.5875	S
Maioni, Miss. Roberta	505	1	1	female	16.0	0	0	86.5	S
Penasco y Castellana, Mr. Victor de Satode	506	0	1	male	18.0	1	0	108.9	C
Quick, Mrs. Frederick Charles (Jane Richards)	507	1	2	female	33.0	0	2	26.0	S
"Bradley, Mr. George (""George Arthur Brayton"")"	508	1	1	male	29.69911764705882	0	0	26.55	S
Olsen, Mr. Henry Margido	509	0	3	male	28.0	0	0	22.525	S
Lang, Mr. Fang	510	1	3	male	26.0	0	0	56.4958	S
Daly, Mr. Eugene Patrick	511	1	3	male	29.0	0	0	7.75	Q
Webber, Mr. James	512	0	3	male	29.69911764705882	0	0	8.05	S
McGough, Mr. James Robert	513	1	1	male	36.0	0	0	26.2875	S
Rothschild, Mrs. Martin (Elizabeth L. Barrett)	514	1	1	female	54.0	1	0	59.4	C
Coleff, Mr. Satio	515	0	3	male	24.0	0	0	7.4958	S
Walker, Mr. William Anderson	516	0	1	male	47.0	0	0	34.0208	S
Lemore, Mrs. (Amelia Milley)	517	1	2	female	34.0	0	0	10.5	S
Ryan, Mr. Patrick	518	0	3	male	29.69911764705882	0	0	24.15	Q
"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)"	519	1	2	female	36.0	1	0	26.0	S
Pavlovic, Mr. Stefo	520	0	3	male	32.0	0	0	7.8958	S
Perreault, Miss. Anne	521	1	1	female	30.0	0	0	93.5	S
Vovk, Mr. Janko	522	0	3	male	22.0	0	0	7.8958	S
Lahoud, Mr. Sarkis	523	0	3	male	29.69911764705882	0	0	7.225	C
Hippach, Mrs. Louis Albert (Ida Sophia Fischer)	524	1	1	female	44.0	0	1	57.9792	C
Kassem, Mr. Fared	525	0	3	male	29.69911764705882	0	0	7.2292	C
Farrell, Mr. James	526	0	3	male	40.5	0	0	7.75	Q
Ridsdale, Miss. Lucy	527	1	2	female	50.0	0	0	10.5	S
Farthing, Mr. John	528	0	1	male	29.69911764705882	0	0	221.7792	S
Salonen, Mr. Johan Werner	529	0	3	male	39.0	0	0	7.925	S
Hocking, Mr. Richard George	530	0	2	male	23.0	2	1	11.5	S
Quick, Miss. Phyllis May	531	1	2	female	2.0	1	1	26.0	S
Toufik, Mr. Nakli	532	0	3	male	29.69911764705882	0	0	7.2292	C
Elias, Mr. Joseph Jr	533	0	3	male	17.0	1	1	7.2292	C
Peter, Mrs. Catherine (Catherine Rizk)	534	1	3	female	29.69911764705882	0	2	22.3583	C
Cacic, Miss. Marija	535	0	3	female	30.0	0	0	8.6625	S
Hart, Miss. Eva Miriam	536	1	2	female	7.0	0	2	26.25	S
Butt, Major. Archibald Willingham	537	0	1	male	45.0	0	0	26.55	S
LeRoy, Miss. Bertha	538	1	1	female	30.0	0	0	106.425	C
Risien, Mr. Samuel Beard	539	0	3	male	29.69911764705882	0	0	14.5	S
Frolicher, Miss. Hedwig Margaritha	540	1	1	female	22.0	0	2	49.5	C
Crosby, Miss. Harriet R	541	1	1	female	36.0	0	2	71.0	S
Andersson, Miss. Ingeborg Constanzia	542	0	3	female	9.0	4	2	31.275	S
Andersson, Miss. Sigrid Elisabeth	543	0	3	female	11.0	4	2	31.275	S
Beane, Mr. Edward	544	1	2	male	32.0	1	0	26.0	S
Douglas, Mr. Walter Donald	545	0	1	male	50.0	1	0	106.425	C
Nicholson, Mr. Arthur Ernest	546	0	1	male	64.0	0	0	26.0	S
Beane, Mrs. Edward (Ethel Clarke)	547	1	2	female	19.0	1	0	26.0	S
Padro y Manent, Mr. Julian	548	1	2	male	29.69911764705882	0	0	13.8625	C
Goldsmith, Mr. Frank John	549	0	3	male	33.0	1	1	20.525	S
Davies, Master. John Morgan Jr	550	1	2	male	8.0	1	1	36.75	S
Thayer, Mr. John Borland Jr	551	1	1	male	17.0	0	2	110.8833	C
Sharp, Mr. Percival James R	552	0	2	male	27.0	0	0	26.0	S
O'Brien, Mr. Timothy	553	0	3	male	29.69911764705882	0	0	7.8292	Q
"Leeni, Mr. Fahim (""Philip Zenni"")"	554	1	3	male	22.0	0	0	7.225	C
Ohman, Miss. Velin	555	1	3	female	22.0	0	0	7.775	S
Wright, Mr. George	556	0	1	male	62.0	0	0	26.55	S
"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")"	557	1	1	female	48.0	1	0	39.6	C
Robbins, Mr. Victor	558	0	1	male	29.69911764705882	0	0	227.525	C
Taussig, Mrs. Emil (Tillie Mandelbaum)	559	1	1	female	39.0	1	1	79.65	S
de Messemaeker, Mrs. Guillaume Joseph (Emma)	560	1	3	female	36.0	1	0	17.4	S
Morrow, Mr. Thomas Rowan	561	0	3	male	29.69911764705882	0	0	7.75	Q
Sivic, Mr. Husein	562	0	3	male	40.0	0	0	7.8958	S
Norman, Mr. Robert Douglas	563	0	2	male	28.0	0	0	13.5	S
Simmons, Mr. John	564	0	3	male	29.69911764705882	0	0	8.05	S
Meanwell, Miss. (Marion Ogden)	565	0	3	female	29.69911764705882	0	0	8.05	S
Davies, Mr. Alfred J	566	0	3	male	24.0	2	0	24.15	S
Stoytcheff, Mr. Ilia	567	0	3	male	19.0	0	0	7.8958	S
Palsson, Mrs. Nils (Alma Cornelia Berglund)	568	0	3	female	29.0	0	4	21.075	S
Doharr, Mr. Tannous	569	0	3	male	29.69911764705882	0	0	7.2292	C
Jonsson, Mr. Carl	570	1	3	male	32.0	0	0	7.8542	S
Harris, Mr. George	571	1	2	male	62.0	0	0	10.5	S
Appleton, Mrs. Edward Dale (Charlotte Lamson)	572	1	1	female	53.0	2	0	51.4792	S
"Flynn, Mr. John Irwin (""Irving"")"	573	1	1	male	36.0	0	0	26.3875	S
Kelly, Miss. Mary	574	1	3	female	29.69911764705882	0	0	7.75	Q
Rush, Mr. Alfred George John	575	0	3	male	16.0	0	0	8.05	S
Patchett, Mr. George	576	0	3	male	19.0	0	0	14.5	S
Garside, Miss. Ethel	577	1	2	female	34.0	0	0	13.0	S
Silvey, Mrs. William Baird (Alice Munger)	578	1	1	female	39.0	1	0	55.9	S
Caram, Mrs. Joseph (Maria Elias)	579	0	3	female	29.69911764705882	1	0	14.4583	C
Jussila, Mr. Eiriik	580	1	3	male	32.0	0	0	7.925	S
Christy, Miss. Julie Rachel	581	1	2	female	25.0	1	1	30.0	S
Thayer, Mrs. John Borland (Marian Longstreth Morris)	582	1	1	female	39.0	1	1	110.8833	C
Downton, Mr. William James	583	0	2	male	54.0	0	0	26.0	S
Ross, Mr. John Hugo	584	0	1	male	36.0	0	0	40.125	C
Paulner, Mr. Uscher	585	0	3	male	29.69911764705882	0	0	8.7125	C
Taussig, Miss. Ruth	586	1	1	female	18.0	0	2	79.65	S
Jarvis, Mr. John Denzil	587	0	2	male	47.0	0	0	15.0	S
Frolicher-Stehli, Mr. Maxmillian	588	1	1	male	60.0	1	1	79.2	C
Gilinski, Mr. Eliezer	589	0	3	male	22.0	0	0	8.05	S
Murdlin, Mr. Joseph	590	0	3	male	29.69911764705882	0	0	8.05	S
Rintamaki, Mr. Matti	591	0	3	male	35.0	0	0	7.125	S
